6370,594633795465,1012022,2022,1,570.71,2,5022024,31122024,0000000-00.0000.000.0000,6370,9999,49403,0,CC,576282714708951,2,35666334,Josefa Pereira,Roberta Barbosa,1969-12-31,51316679263
3372,282841090500,1012022,2022,1,1256.56,9,5022024,31122024,0000000-00.0000.000.0000,3372,0,15318,2,PP,773627655887926,2,55236063,Maria da Silva,Joana dos Santos,1970-01-01,7240382240
7781,146651982391,1012022,2022,1,213.00,6,5022024,31122024,0000000-00.0000.000.0000,7781,5555,4586,5,CD,729930286298539,3,64427304,Joana dos Santos,Josefa Pereira,1970-01-01,59151019191
9420,150373326625,1012022,2022,1,1264.42,9,5022024,31122024,0000000-00.0000.000.0000,9420,0,58702,8,PP,638811754641224,1,70829500,Alan Barbosa,Roberta Barbosa,1969-12-31,16337168701
4789,894035538082,1012022,2022,1,1180.82,2,5022024,31122024,0000000-00.0000.000.0000,4789,5555,24523,9,CC,126611600950384,1,82876794,Maria da Silva,Josefa Pereira,1969-12-31,72458735479
2008,49188803609,1012022,2022,1,1215.17,4,5022024,31122024,0000000-00.0000.000.0000,2008,9999,8973,7,CC,231637452743170,3,114496451,Pedro Monteiro,Maria da Silva,1969-12-31,48996375044
6067,981630769437,1012022,2022,1,165.61,5,5022024,31122024,0000000-00.0000.000.0000,6067,5555,97486,1,PP,617368847632761,2,124670611,Roberta Barbosa,Josefa Pereira,1970-01-01,67600440558
307,496090571309,1012022,2022,1,634.44,8,5022024,31122024,0000000-00.0000.000.0000,307,9999,61035,1,CC,136767429344962,2,129009426,Victor Czarnobay,Roberta Barbosa,1970-01-01,9066518311
4221,967423607541,1012022,2022,1,99.11,7,5022024,31122024,0000000-00.0000.000.0000,4221,9999,9510,3,CD,255391633853598,2,130123275,Roberta Barbosa,Roberta Barbosa,1969-12-31,59784204186
4333,546149928327,1012022,2022,1,167.77,11,5022024,31122024,0000000-00.0000.000.0000,4333,5555,85447,8,CC,786046905606377,2,138002032,Victor Czarnobay,Josefa Pereira,1969-12-31,70261243700
3984,341438366418,1012022,2022,1,911.78,12,5022024,31122024,0000000-00.0000.000.0000,3984,0,98562,8,PP,798070068358925,3,149625629,Carlos Fabrício,Maria da Silva,1970-01-01,13526563851
9116,480474655501,1012022,2022,1,1104.86,11,5022024,31122024,0000000-00.0000.000.0000,9116,0,99002,5,CD,508297589833762,1,161609927,Maria da Silva,Maria da Silva,1970-01-01,65206270215
3337,788083352060,1012022,2022,1,434.29,9,5022024,31122024,0000000-00.0000.000.0000,3337,0,14873,3,CD,517792930806577,2,172466653,Josefa Pereira,Roberta Barbosa,1970-01-01,97657484205
5503,511187642788,1012022,2022,1,89.80,10,5022024,31122024,0000000-00.0000.000.0000,5503,5555,85334,7,PP,186147736929105,2,180656666,Josefa Pereira,Roberta Barbosa,1970-01-01,56630686125
